Eth,MAE,N_events,Nth,RMSE,bias,chi2_ndf,chi2_ndf_dof,chi2_p,chi2_vs_poisson1,dataset,energy_captured_fraction,energy_containment_mean,energy_containment_median,energy_containment_std,energy_split_fraction,energy_unclustered_fraction,exact_match_rate,frac_0,frac_1,frac_2,frac_3plus,frac_events_containment_ge_90,frac_events_containment_ge_99,ks_D,ks_p,max_clusters,mean_clusters,median_clusters,over_cluster_rate,recon_seconds,std_clusters,under_cluster_rate
5.0,0.79102,50000,3.0,1.0476736132975766,0.54454,3886.436452347662,6,0.0,23318.618714085973,gamma_iso,0.8849677156060547,0.7252200067606127,0.7514634714053892,0.15889920574650224,0.15943978086087188,0.1150322843939453,0.3514,0.12324,0.3514,0.39352,0.13184,0.13367486338797815,0.0017531876138433516,0.6125188823428847,0.0,5,1.54454,2.0,0.52536,45.92883014678955,0.8950487197042476,0.12324
6.0,0.6425,50000,1.0,0.8994553907782197,0.3956200000000001,3040.2913519977847,6,0.0,18241.748111986708,gamma_iso,0.872207989865775,0.7357022184475486,0.7654632704873857,0.15768507185215766,0.13600657009798645,0.12779201013422503,0.43728,0.12344,0.43728,0.36294,0.07634,0.14924863387978143,0.0020491803278688526,0.6123188823428847,0.0,5,1.39562,1.0,0.43928,37.454824924468994,0.8077857797444316,0.12344
6.0,0.68196,50000,2.0,0.9352860524994479,0.4350799999999999,3275.346473293265,6,0.0,19652.07883975959,gamma_iso,0.872207989865775,0.7260172789843855,0.7524275565980021,0.15894572183396247,0.14578103253466318,0.12779201013422503,0.41016,0.12344,0.41016,0.3785,0.0879,0.13494990892531877,0.0017759562841530056,0.6123188823428847,0.0,5,1.43508,1.0,0.4664,36.93010711669922,0.8279366540877772,0.12344
6.0,0.68576,50000,3.0,0.9399574458452893,0.43887999999999994,3274.5091065760084,6,0.0,19647.05463945605,gamma_iso,0.872207989865775,0.7251095641736052,0.7514353016259586,0.15917197774246503,0.1467043625141312,0.12779201013422503,0.40854,0.12344,0.40854,0.37822,0.0898,0.13362932604735883,0.0017304189435336976,0.6123188823428847,0.0,5,1.43888,1.0,0.46802,38.17249655723572,0.8312148723183912,0.12344
7.0,0.56792,50000,1.0,0.8244755909061225,0.3206800000000001,2877.7885137229127,6,0.0,17266.731082337476,gamma_iso,0.8606237036492496,0.7348231585533418,0.7642122236803646,0.15790230554029278,0.125177129496114,0.13937629635075044,0.48654,0.12362,0.48654,0.33682,0.05302,0.1472905282331512,0.0019581056466302367,0.6121388823428847,0.0,5,1.32068,1.0,0.38984,52.85660648345947,0.7595629508589308,0.12362
7.0,0.60212,50000,2.0,0.8555933613580694,0.3548800000000001,2987.512566811604,6,0.0,17925.075400869624,gamma_iso,0.8606237036492496,0.725675893861829,0.7520896553866021,0.15931107519649226,0.1344124171213363,0.13937629635075044,0.46108,0.12362,0.46108,0.35384,0.06146,0.13465391621129327,0.0017076502732240437,0.6121388823428847,0.0,5,1.35488,1.0,0.4153,50.53341555595398,0.7785321495263743,0.12362
7.0,0.605,50000,3.0,0.8591623827891908,0.3577600000000001,2978.535196427753,6,0.0,17871.21117856652,gamma_iso,0.8606237036492496,0.724956632487381,0.7514015705153416,0.15946979089762608,0.1351449814557004,0.13937629635075044,0.45974,0.12362,0.45974,0.35372,0.06292,0.13356102003642986,0.001662112932604736,0.6121388823428847,0.0,5,1.35776,1.0,0.41664,48.317798137664795,0.781140183321611,0.12362
8.0,0.50784,50000,1.0,0.7632823854904554,0.2602,3486.6140825951275,5,0.0,17433.070412975638,gamma_iso,0.8497613195925379,0.7339704820051112,0.7630196194524119,0.15816162242616838,0.1150798194803546,0.15023868040746213,0.529,0.12382,0.529,0.31088,0.0363,0.14587887067395264,0.001935336976320583,0.6119388823428846,0.0,4,1.2602,1.0,0.34718,44.3083553314209,0.7175696886889541,0.12382
8.0,0.53744,50000,2.0,0.7903163923391695,0.28980000000000006,3509.3416152166196,5,0.0,17546.708076083098,gamma_iso,0.8497613195925379,0.7253800982510413,0.7518916938511255,0.15965101324623507,0.12375707246107473,0.15023868040746213,0.50548,0.12382,0.50548,0.32844,0.04226,0.13438069216757742,0.0017076502732240437,0.6119388823428846,0.0,4,1.2898,1.0,0.3707,39.05670714378357,0.7352732638519168,0.12382
8.0,0.53954,50000,3.0,0.7930321557162736,0.29190000000000005,3494.2174974287836,5,0.0,17471.08748714392,gamma_iso,0.8497613195925379,0.7248285109614616,0.7513741251892807,0.15978929682031728,0.12431934492044378,0.15023868040746213,0.50446,0.12382,0.50446,0.3284,0.04332,0.13353825136612021,0.001662112932604736,0.6119388823428846,0.0,4,1.2919,1.0,0.37172,52.67781138420105,0.7373637257861835,0.12382
9.0,0.45532,50000,1.0,0.7101549126775087,0.2070399999999999,3658.013244775041,5,0.0,18290.066223875205,gamma_iso,0.8390685591779914,0.7330799277555862,0.7619903057298323,0.15866935598537985,0.10509695335863395,0.1609314408220086,0.56902,0.12414,0.56902,0.28266,0.02418,0.14444444444444443,0.0018670309653916212,0.6116188823428846,0.0,4,1.20704,1.0,0.30684,39.10866165161133,0.6793111714622051,0.12414
9.0,0.48152,50000,2.0,0.7340572184782328,0.2332399999999999,3593.369458418638,5,0.0,17966.84729209319,gamma_iso,0.8390685591779914,0.7249776428486622,0.7516499339952636,0.16022773428648338,0.11328357789980566,0.1609314408220086,0.54694,0.12414,0.54694,0.30066,0.02826,0.13406193078324227,0.001639344262295082,0.6116188823428846,0.0,4,1.23324,1.0,0.32892,44.376753091812134,0.6960235566242191,0.12414
9.0,0.48298,50000,3.0,0.736057063005308,0.2346999999999999,3578.183265946967,5,0.0,17890.916329734835,gamma_iso,0.8390685591779914,0.7245821910692738,0.7513071735002654,0.1603126487811324,0.11368645623538422,0.1609314408220086,0.54622,0.12414,0.54622,0.30064,0.029,0.13342440801457195,0.0015938069216757742,0.6116188823428846,0.0,4,1.2347,1.0,0.32964,40.64433193206787,0.6976429202055177,0.12414
10.0,0.41234,50000,1.0,0.6669482738563763,0.16378000000000004,3930.324770749428,5,0.0,19651.62385374714,gamma_iso,0.8292478209441875,0.7322896372019679,0.760986772288661,0.15886825320573486,0.0959958068972011,0.17075217905581253,0.60382,0.12428,0.60382,0.25582,0.01608,0.1431921675774135,0.0018214936247723133,0.6114788823428847,0.0,4,1.16378,1.0,0.2719,46.23198580741882,0.6465326532275334,0.12428
10.0,0.43538,50000,2.0,0.6879098778183084,0.18681999999999999,3797.1667126529683,5,0.0,18985.83356326484,gamma_iso,0.8292478209441875,0.7247333097990362,0.751472345395263,0.16047968246509847,0.10363450306606098,0.17075217905581253,0.58346,0.12428,0.58346,0.2735,0.01876,0.13381147540983607,0.001616575591985428,0.6114788823428847,0.0,4,1.18682,1.0,0.29226,47.317872524261475,0.6620627267420232,0.12428
10.0,0.43628,50000,3.0,0.6892314560436139,0.1877200000000001,3785.457789788772,5,0.0,18927.28894894386,gamma_iso,0.8292478209441875,0.7244783131174926,0.75126485380749,0.16054315037890382,0.10389480244538345,0.17075217905581253,0.58302,0.12428,0.58302,0.27348,0.01922,0.13337887067395265,0.0015938069216757742,0.6114788823428847,0.0,4,1.18772,1.0,0.2927,45.16036534309387,0.6631817230593405,0.12428
11.0,0.37274,50000,1.0,0.6270087718684644,0.12378,4307.323136187759,5,0.0,21536.615680938794,gamma_iso,0.8192959579526797,0.7314639893680009,0.7599811280272978,0.15934158209082738,0.08677513516970634,0.18070404204732027,0.63744,0.12448,0.63744,0.22792,0.01016,0.14225865209471766,0.0017759562841530056,0.6112788823428846,0.0,4,1.12378,1.0,0.23808,42.60952949523926,0.6146755795713398,0.12448
11.0,0.3929,50000,2.0,0.6454300891653565,0.14393999999999996,4114.51357940977,5,0.0,20572.567897048848,gamma_iso,0.8192959579526797,0.724527476244318,0.7514046419848581,0.1608092239595891,0.0937897553730952,0.18070404204732027,0.61892,0.12448,0.61892,0.2448,0.0118,0.13362932604735883,0.0015938069216757742,0.6112788823428846,0.0,4,1.14394,1.0,0.2566,40.72286677360535,0.629181367956709,0.12448
11.0,0.39356,50000,3.0,0.6464673232267815,0.14460000000000006,4104.542008320286,5,0.0,20522.710041601433,gamma_iso,0.8192959579526797,0.7243315960755407,0.7512235970182114,0.16087100494920153,0.09398999368517491,0.18070404204732027,0.6186,0.12448,0.6186,0.24478,0.01214,0.13331056466302368,0.0015710382513661203,0.6112788823428846,0.0,4,1.1446,1.0,0.25692,45.536044120788574,0.6300942630873634,0.12448
12.0,0.33818,50000,1.0,0.5910160742314883,0.08874000000000004,5951.003060637786,4,0.0,23804.012242551144,gamma_iso,0.8096618861374886,0.7305771743400159,0.7587723167800036,0.15973272566187224,0.07792970295595623,0.19033811386251143,0.66738,0.12472,0.66738,0.20234,0.00556,0.14098360655737704,0.00168488160291439,0.6110388823428847,0.0,3,1.08874,1.0,0.2079,41.43676233291626,0.5843218642501928,0.12472
12.0,0.35566,50000,2.0,0.6072725911812585,0.10621999999999998,5657.279770051282,4,0.0,22629.119080205128,gamma_iso,0.8096618861374886,0.724263173876363,0.7512908296550468,0.1611995061857921,0.08431577267688523,0.19033811386251143,0.6509,0.12472,0.6509,0.21782,0.00656,0.13337887067395265,0.0015255009107468123,0.6110388823428847,0.0,3,1.10622,1.0,0.22438,53.74112868309021,0.5979167681954017,0.12472
12.0,0.35598,50000,3.0,0.6077993089828254,0.10654000000000008,5650.6365067250745,4,0.0,22602.546026900298,gamma_iso,0.8096618861374886,0.724163968384294,0.7511949916330332,0.16122870814498033,0.08441756300923531,0.19033811386251143,0.65074,0.12472,0.65074,0.21782,0.00672,0.13321948998178507,0.0015027322404371586,0.6110388823428847,0.0,3,1.10654,1.0,0.22454,37.98367118835449,0.5983948445030243,0.12472
13.0,0.30688,50000,1.0,0.5591779680924491,0.05699999999999994,6601.193226846422,4,0.0,26404.772907385686,gamma_iso,0.8002274746029965,0.7297435339684771,0.7578470889828892,0.1602243504815818,0.06924906996449097,0.19977252539700352,0.69602,0.12494,0.69602,0.17614,0.0029,0.1402094717668488,0.001639344262295082,0.6108188823428846,0.0,3,1.057,1.0,0.17904,38.49988508224487,0.5562707872464406,0.12494
13.0,0.32198,50000,2.0,0.5734631635946636,0.07210000000000005,6269.409423948019,4,0.0,25077.637695792077,gamma_iso,0.8002274746029965,0.72405794631217,0.7511856289658579,0.16157037324191054,0.07500359590162248,0.19977252539700352,0.68146,0.12494,0.68146,0.19016,0.00344,0.13326502732240436,0.0015027322404371586,0.6108188823428846,0.0,3,1.0721,1.0,0.1936,47.015976428985596,0.5689183274963703,0.12494
13.0,0.3221,50000,3.0,0.5736723803705387,0.07221999999999995,6266.715837709972,4,0.0,25066.86335083989,gamma_iso,0.8002274746029965,0.7240190123910908,0.7511723313988663,0.16157959801162391,0.07504349559032353,0.19977252539700352,0.6814,0.12494,0.6814,0.19016,0.0035,0.13319672131147542,0.0015027322404371586,0.6108188823428846,0.0,3,1.07222,1.0,0.19366,51.4387104511261,0.5691140038823401,0.12494
